stimulus,colour,congruent,correctresponse,alt1,alt2,Accuracy,RT,Response,Sub_id,Sex
red,yellow,0,m,red,yellow,1,1.05617890000576,m,2,Male
blue,blue,1,m,yellow,blue,1,0.785582600045018,m,2,Male
red,red,1,m,yellow,red,1,0.543837000033818,m,2,Male
yellow,yellow,1,x,yellow,blue,1,0.848602799989749,x,2,Male
green,green,1,x,green,blue,1,0.656602800008841,x,2,Male
green,green,1,x,green,yellow,1,0.609314399946015,x,2,Male
green,green,1,m,red,green,1,0.833763599977829,m,2,Male
green,green,1,m,blue,green,1,0.543795400008094,m,2,Male
blue,blue,1,x,blue,green,1,0.624935000028927,x,2,Male
yellow,green,0,x,green,yellow,0,0.769266100018285,m,2,Male
green,blue,0,m,green,blue,1,1.40840620000381,m,2,Male
blue,red,0,x,red,blue,1,0.96124910004437,x,2,Male
yellow,red,0,m,yellow,red,1,1.03999999997905,m,2,Male
yellow,yellow,1,m,red,yellow,1,0.992905699997209,m,2,Male
red,red,1,x,red,blue,1,0.639997599995695,x,2,Male
red,red,1,m,green,red,1,0.593602199980523,m,2,Male
blue,blue,1,m,red,blue,1,0.527635300008114,m,2,Male
green,red,0,m,green,red,1,0.961324699979741,m,2,Male
green,blue,0,x,blue,green,1,2.15997140004765,x,2,Male
red,blue,0,x,blue,red,1,3.40942100004759,x,2,Male
red,red,1,x,red,yellow,1,0.816252899996471,x,2,Male
blue,green,0,m,blue,green,1,1.32823729998199,m,2,Male
yellow,yellow,1,x,yellow,green,1,0.735817999986466,x,2,Male
yellow,blue,0,m,yellow,blue,1,0.912615399982315,m,2,Male
yellow,yellow,1,x,yellow,red,1,1.50434449996101,x,2,Male
green,green,1,m,yellow,green,1,1.23072549997596,m,2,Male
red,green,0,m,red,green,1,0.897337100002915,m,2,Male
blue,blue,1,x,blue,yellow,1,1.87225110002328,x,2,Male
blue,yellow,0,m,blue,yellow,1,0.881185500009451,m,2,Male
blue,green,0,x,green,blue,1,1.23311799997464,x,2,Male
red,yellow,0,x,yellow,red,1,0.78476499998942,x,2,Male
yellow,green,0,m,yellow,green,1,1.88854369998444,m,2,Male
yellow,yellow,1,m,blue,yellow,1,1.34490009996807,m,2,Male
blue,red,0,m,blue,red,1,0.944212800008245,m,2,Male
red,blue,0,m,red,blue,0,0.880962499999441,x,2,Male
